,symbol,sector,industry
214,HON,Industrials,Specialty Industrial Machinery
215,HP,Energy,Oil & Gas Drilling
216,HPE,Technology,Communication Equipment
217,HPQ,Technology,Computer Hardware
218,HRB,Consumer Cyclical,Personal Services
219,HRL,Consumer Defensive,Packaged Foods
220,HSIC,Healthcare,Medical Distribution
221,HST,Real Estate,REIT—Hotel & Motel
222,HSY,Consumer Defensive,Confectioners
223,HUM,Healthcare,Healthcare Plans
224,IBM,Technology,Information Technology Services
225,ICE,Financial Services,Financial Data & Stock Exchanges
226,IDXX,Healthcare,Diagnostics & Research
227,IFF,Basic Materials,Specialty Chemicals
228,ILMN,Healthcare,Diagnostics & Research
229,INCY,Healthcare,Biotechnology
230,INTC,Technology,Semiconductors
231,INTU,Technology,Software—Application
232,IP,Consumer Cyclical,Packaging & Containers
233,IPG,Communication Services,Advertising Agencies
234,IPGP,Technology,Semiconductor Equipment & Materials
235,IQV,Healthcare,Diagnostics & Research
236,IR,Industrials,Specialty Industrial Machinery
237,IRM,Real Estate,REIT—Specialty
238,ISRG,Healthcare,Medical Instruments & Supplies
239,IT,Technology,Information Technology Services
240,ITW,Industrials,Specialty Industrial Machinery
241,IVZ,Financial Services,Asset Management
242,JBHT,Industrials,Integrated Freight & Logistics
243,JCI,Industrials,Engineering & Construction
244,JEF,Financial Services,Financial Conglomerates
245,JNJ,Healthcare,Drug Manufacturers—General
246,JNPR,Technology,Communication Equipment
247,JPM,Financial Services,Banks—Diversified
248,JWN,Consumer Cyclical,Department Stores
249,K,Consumer Defensive,Packaged Foods
250,KEY,Financial Services,Banks—Regional
251,KEYS,Technology,Scientific & Technical Instruments
252,KHC,Consumer Defensive,Packaged Foods
253,KIM,Real Estate,REIT—Retail
254,KLAC,Technology,Semiconductor Equipment & Materials
255,KMB,Consumer Defensive,Household & Personal Products
256,KMI,Energy,Oil & Gas Midstream
257,KMX,Consumer Cyclical,Auto & Truck Dealerships
258,KO,Consumer Defensive,Beverages—Non-Alcoholic
259,KR,Consumer Defensive,Grocery Stores
260,KSS,Consumer Cyclical,Department Stores
261,KSU,Industrials,Railroads
262,L,Financial Services,Insurance—Property & Casualty
263,LEG,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
264,LEN,Consumer Cyclical,Residential Construction
265,LH,Healthcare,Diagnostics & Research
266,LIN,Basic Materials,Specialty Chemicals
268,LKQ,Consumer Cyclical,Auto Parts
269,LLY,Healthcare,Drug Manufacturers—General
270,LMT,Industrials,Aerospace & Defense
271,LNC,Financial Services,Insurance—Life
272,LNT,Utilities,Utilities—Regulated Electric
273,LOW,Consumer Cyclical,Home Improvement Retail
274,LRCX,Technology,Semiconductor Equipment & Materials
275,LUMN,Communication Services,Telecom Services
276,LUV,Industrials,Airlines
277,LYB,Basic Materials,Specialty Chemicals
278,M,Consumer Cyclical,Department Stores
279,MA,Financial Services,Credit Services
280,MAA,Real Estate,REIT—Residential
281,MAC,Real Estate,REIT—Retail
282,MAR,Consumer Cyclical,Lodging
