ticker
ALUA
BBAR
BMA
BYMA
CEPU
COME
CRES
CVH
EDN
GGAL
HARG
LOMA
MIRG
PAMP
SUPV
TECO2
TGNO4
TGSU2
TRAN
TXAR
VALO
YPFD
